8823,HOLIDAY,Na･de･Na･deボーイ,P,SUGINAMI MELODY,Y,あじさい通り,ありふれた人生,あわ,いろは,うめぼし,おっぱい,けもの道,さらばユニヴァース,さわって・変わって,ただ春を待つ,たまご,つぐみ,ほうき星,みそか,アカネ,アパート,インディゴ地平線,ウィリー,ウサギのバイク,エスカルゴ,エトランゼ,ガーベラ,クリスピー,グラスホッパー,コスモス,シャララ,ジュテーム？,スーパーノヴァ,スカーレット,スターゲイザー,スパイダー,スピカ,センチメンタル,チェリー,テイタム・オニール,テクテク,テレビ,トゲトゲの木,トビウオ,トンガリ’95,ナナへの気持ち,ナンプラー日和,ニノウデの世界,ネズミの進化,ハートが帰らない,ハイファイ・ローファイ,ハチミツ,ハネモノ,ハヤテ,バニーガール,ババロア,ヒバリのこころ,ビー玉,フェイクファー,プール,ヘチマの花,ベビーフェイス,マーメイド,マフラーマン,ミカンズのテーマ,ムーンライト,メモリーズ,ルキンフォー,ルナルナ,ローテク・ロマンティカ,ロビンソン,ワタリ,愛のことば,稲穂,運命の人,俺のすべて,俺の赤い星,夏が終わる,夏の魔物,花泥棒,会いに行くよ,海とピンク,海ねこ,海を見に行こう,甘い手,甘ったれクリーチャー,魚,胸に咲いた黄色い花,空も飛べるはず,君が思い出になる前に,君と暮らせたら,群青,今,砂漠の花,三日月ロック その３,自転車,謝々！,若葉,春の歌,春夏ロケット,初恋クレイジー,渚,心の底から,正夢,青い車,青春生き残りゲーム,船乗り,孫悟空,大宮サンセット,仲良し,鳥になって,点と点,田舎の生活,桃,日なたの窓に憧れて,猫になりたい,不思議,不死身のビーナス,楓,歩き出せ、クローバー,放浪カモメはどこまでも,僕のギター,僕の天使マリ,僕はジェット,魔女旅に出る,魔法のコトバ,夢じゃない,夢追い虫,名前をつけてやる,迷子の兵隊,夜を駆ける,野生のチューリップ,優しくなりたいな,夕焼け,夕陽が笑う、君も笑う,遥か,裸のままで,流れ星,旅の途中,旅人,涙がキラリ☆,冷たい頬,恋のうた,恋のはじまり,恋は夕暮れ,漣,惑星のかけら,1-2 Love Forever,Sakura,,3月9日,もっと遠くへ,アカシア,シフト,スタンドバイミー,モラトリアム,茜空,雨上がり,蛍,紙ふぶき,電話,南風,粉雪,夢の蕾,流星,#2601,365日,All by myself,Another Mind,Another Story,Any,CANDY,CROSS ROAD,Drawing,Everything (It’s you),GIFT,HANABI,HERO,I’LL BE,Image,It’s a wonderful world,Love is Blindness,Mirror,NOT FOUND,PADDLE,Pink～奇妙な夢,Prism,Replay,Round About～孤独の肖像～,SUNRISE,Sign,So Let’s Get Truth,Surrender,Tomorrow never knows,UFO,Wake me up!,and I love you,everybody goes～秩序のない現代にドロップキック～,my confidence song,youthful days,【es】～Theme of es～,ありふれた Love Story～男女問題はいつも面倒だ～,あんまり覚えてないや,かぞえうた,くるみ,こんな風にひどく蒸し暑い日,しるし,その向こうへ行こう,ためいきの日曜日,つよがり,また会えるかな,もっと,innocent world,エソラ,シーソーゲーム～勇敢な恋の歌～,ジェラシー,スロースターター,タガタメ,ニシエヒガシエ,フェイク,ポケット カスタネット,メインストリートに行こう,ヨーイドン,ランニングハイ,ロード・アイ・ミス・ユー,ロードムービー,ロックンロールは生きている,雨のち晴れ,花 -Mémento-Mori-,花の匂い,花言葉,隔たり,祈り ～涙の軌道,空風の帰り道,君がいた夏,君が好き,君の事以外は何も考えられない,血の管,言わせてみてぇもんだ,口がすべって,口笛,彩り,思春期の夏～君との恋が今も牧場に～,車の中でかくれてキスをしよう,終わりなき旅,終末のコンフィデンスソング,十二月のセントラルパークブルース,少年,掌,深海,水上バス,声,跳べ,通り雨,天頂バス,東京,逃亡者,独り言,虹の彼方へ,風～The wind knows how I feel～,風と星とメビウスの輪,抱きしめたい,僕らの音,未来,名もなき詩,妄想満月,優しい歌,羊、吠える,旅人,旅立ちの唄,虜,箒星,蜃気楼,AM11:00,DADA
コスモス, 30402, 2713, 7938, 896, 5827, 10265, 3434, 1887, 2070, 7196, 3433, 5668, 14501, 4266, 2380, 594, 15782, 1868, 6974, 5528, 13912, 10306, 4741, 1584, 8083, 4575, 5225, 40142, 2354, 5601, 0, 34026, 27358, 2558, 2389, 1889, 3957, 1702, 4126, 25212, 1425, 11003, 17677, 8083, 7097, 10295, 1863, 8065, 2022, 8352, 8476, 17782, 22107, 2188, 3854, 4095, 4346, 18771, 9442, 12061, 1823, 8490, 1238, 2018, 5149, 3455, 7336, 7118, 2056, 3713, 8990, 2118, 7069, 1299, 5703, 942, 6179, 3209, 10232, 10272, 8196, 3833, 2904, 5003, 2331, 4863, 3252, 6882, 1111, 6201, 2612, 17257, 1127, 2844, 2021, 9190, 23217, 5602, 380, 15954, 4183, 3563, 6182, 6899, 18924, 1353, 5712, 3163, 3777, 3218, 6242, 12187, 19659, 10564, 1624, 6253, 1291, 4594, 12532, 26787, 1469, 9880, 1766, 2736, 9087, 886, 1388, 1896, 5072, 1962, 8164, 16926, 34639, 4996, 4388, 1681, 2140, 2056, 3933, 6788, 4252, 706, 1310, 2968, 2946, 3903, 5718, 2554, 2788, 2158, 10268, 19646, 3060, 6753, 9030, 6866, 2305, 7812, 4862, 5685, 6656, 5995, 8525, 2184, 4686, 5202, 6494, 7753, 7988, 2098, 7167, 9651, 8444, 7743, 9309, 1255, 4505, 10268, 6909, 10446, 8444, 8630, 5270, 1132, 10434, 2189, 1178, 10430, 5342, 2072, 1941, 7608, 17497, 41142, 6534, 6642, 7961, 5810, 7238, 632, 1343, 8833, 4402, 8988, 4943, 7919, 8708, 8859, 8834, 10268, 4243, 5965, 9590, 3388, 6723, 2976, 1939, 6684, 7609, 10446, 3702, 5729, 961, 2919, 8871, 3124, 5019, 41711, 1522, 1041, 9902, 5714, 2822, 5383, 1793, 8887, 8436, 3155, 7862, 3125, 3963, 8483, 7238, 7681, 5589, 9815, 6866, 7646, 8884, 4543, 4814, 8568, 4434, 3266, 958, 7918, 3639, 20594, 2746, 1407, 1961, 7566, 5629, 9631, 9390, 3807, 4201, 2471, 7509, 2082, 6836, 7850, 7879, 1430, 10347, 15620 
シャララ, 9848, 46417, 16542, 36464, 63683, 77825, 56838, 42435, 43140, 66316, 18367, 15568, 8655, 58862, 35094, 36862, 10772, 46666, 65062, 32188, 22922, 12648, 58041, 45706, 11067, 18965, 34203, 1930, 35374, 17883, 34026, 0, 1410, 48360, 29567, 30515, 17229, 26916, 58398, 9134, 36469, 7449, 6999, 10605, 17085, 21821, 40943, 71705, 48402, 9538, 72180, 8814, 21299, 26782, 51472, 20155, 53782, 4553, 13370, 11043, 38429, 72166, 45136, 26862, 59651, 53727, 69986, 65894, 45378, 55373, 74132, 46610, 66509, 29837, 17023, 28108, 14689, 48041, 77518, 10374, 71028, 17115, 49192, 60203, 26499, 39367, 51748, 24164, 33955, 13123, 51278, 12711, 37529, 46202, 49637, 11018, 2077, 27818, 34418, 6996, 40923, 19283, 12314, 18123, 4786, 46741, 64020, 51405, 55131, 19686, 14546, 7743, 5139, 13318, 34558, 66289, 28687, 19606, 14796, 3131, 37825, 9680, 41204, 20408, 11361, 25992, 37416, 30966, 61624, 27818, 71702, 10160, 2939, 27014, 32580, 39287, 47606, 27030, 56261, 63844, 18282, 31550, 35872, 35972, 47858, 28181, 20426, 41162, 34120, 49786, 77644, 8226, 47790, 67899, 15170, 67018, 26807, 70200, 54678, 63767, 66126, 63649, 72415, 46520, 59456, 63230, 56326, 70269, 70216, 33308, 68187, 76019, 72404, 70465, 74963, 43543, 59881, 77644, 67825, 78166, 71692, 72644, 53438, 37370, 78166, 47215, 40250, 8834, 61246, 41492, 25873, 68934, 8663, 4690, 65840, 64834, 70757, 63682, 68430, 34076, 39801, 74003, 60888, 73612, 60829, 71381, 72644, 73891, 74326, 77644, 59143, 12589, 75994, 55224, 66851, 52086, 43425, 54796, 70277, 78166, 56166, 62075, 30775, 54627, 73135, 53608, 31213, 3609, 39602, 37095, 76794, 63476, 50782, 62631, 48267, 74039, 71992, 28127, 70132, 54341, 56365, 72439, 69168, 69533, 12477, 76529, 67058, 68486, 73388, 58725, 55022, 72582, 55194, 36950, 40378, 71524, 55573, 5230, 40474, 44303, 33427, 69090, 61985, 76047, 75222, 55595, 57149, 51585, 69409, 44778, 66764, 71104, 70751, 43380, 11585, 5226 
ジュテーム？, 11224, 38461, 14538, 30616, 55147, 67611, 48504, 36749, 37146, 57868, 14733, 12362, 7525, 50804, 30184, 30606, 9718, 39830, 56812, 28204, 22456, 10792, 49941, 38838, 8623, 14773, 30681, 5208, 30452, 14831, 27358, 1410, 0, 41512, 24609, 25537, 14169, 22274, 50336, 10788, 30699, 5415, 7149, 7235, 15331, 20459, 33417, 61711, 41214, 7210, 62762, 8096, 22445, 22236, 44602, 16813, 46232, 2131, 11412, 9243, 31605, 62860, 37446, 22344, 51813, 45569, 60664, 57512, 38334, 46983, 64466, 38902, 57401, 23863, 14127, 22474, 10879, 41805, 67444, 9210, 61648, 12917, 41922, 51819, 21509, 35185, 44800, 21830, 27643, 10461, 44074, 11689, 31085, 39342, 41987, 8696, 1157, 24660, 28230, 5716, 35943, 14845, 8638, 14883, 4946, 39357, 55460, 44515, 47749, 14560, 10680, 5605, 5763, 10800, 29338, 57101, 23705, 14744, 14090, 2003, 32099, 7126, 35456, 15294, 9697, 20468, 30568, 26118, 52196, 22540, 62302, 9632, 2007, 22176, 28990, 32635, 40046, 21222, 48227, 55792, 13168, 25914, 29490, 31546, 40804, 24417, 17964, 34700, 26802, 42200, 67612, 7910, 40158, 58571, 12612, 57710, 22087, 60556, 47888, 54741, 57476, 55117, 62573, 39556, 51260, 54308, 49660, 60409, 61144, 28558, 58947, 66153, 62566, 60597, 65201, 36829, 51491, 67612, 58261, 68068, 62452, 63272, 44968, 31756, 68068, 40515, 33530, 6784, 53036, 35618, 20969, 59432, 7509, 7688, 56618, 55856, 61521, 54980, 59212, 28016, 33539, 64297, 52290, 64108, 52573, 61925, 63272, 64007, 64474, 67612, 50319, 9057, 66088, 47290, 57843, 43930, 36527, 48460, 60941, 68068, 47862, 54013, 24551, 46529, 63713, 45478, 28111, 4377, 32356, 31185, 66686, 54690, 43280, 54057, 40891, 64341, 62292, 24227, 61090, 46013, 48147, 62801, 60026, 59767, 8551, 66537, 58260, 59708, 63828, 49851, 48068, 63162, 48140, 32334, 33934, 62036, 47409, 2364, 35288, 36825, 26947, 59844, 53239, 66133, 65392, 47239, 48031, 44041, 60123, 38660, 58040, 61698, 61451, 36446, 9351, 3028 
スーパーノヴァ, 37406, 3177, 12534, 2096, 2939, 6469, 1548, 677, 2396, 4364, 7799, 10282, 21759, 1748, 2040, 1690, 23708, 666, 4280, 4724, 15730, 14826, 2725, 182, 15303, 9909, 6501, 54862, 3444, 9501, 2558, 48360, 41512, 0, 5151, 4041, 8161, 4582, 1068, 32446, 1389, 19097, 26117, 15767, 11255, 12055, 3351, 5349, 2076, 16368, 5046, 26616, 24887, 3574, 1910, 7221, 2936, 30721, 16696, 19317, 3967, 5144, 1574, 3556, 2939, 2705, 4006, 4332, 2338, 3229, 5154, 2008, 4293, 4881, 9715, 4072, 12871, 949, 6332, 17800, 4904, 9181, 2820, 3427, 5139, 5479, 750, 7760, 4129, 12255, 1294, 24607, 1887, 2830, 623, 17466, 34981, 6446, 2576, 24686, 1911, 9343, 13042, 12289, 28902, 973, 2782, 747, 1245, 8952, 13196, 21061, 27693, 18884, 1636, 3229, 3951, 9854, 16796, 40205, 2863, 18060, 812, 8490, 15269, 4902, 3434, 4692, 4018, 5672, 4410, 22496, 48469, 8084, 5222, 4007, 2198, 5586, 2183, 4232, 10336, 3132, 3180, 4358, 2512, 4841, 9374, 2522, 5816, 1788, 6332, 28906, 2878, 3779, 15222, 4348, 5899, 4838, 3044, 3871, 3804, 3607, 5341, 2212, 2586, 3060, 4904, 5073, 4742, 3610, 4369, 5869, 5216, 5079, 5695, 1745, 2209, 6332, 4337, 6464, 5060, 5232, 4364, 1568, 6464, 1031, 2136, 18056, 2994, 1914, 4841, 4732, 25971, 52912, 3968, 4056, 4777, 3574, 4518, 2590, 2597, 5183, 2218, 5420, 2461, 4517, 5232, 5595, 5246, 6332, 2513, 12889, 5816, 1640, 4103, 2594, 2717, 5324, 4435, 6464, 1626, 3241, 4057, 995, 5349, 1868, 5651, 57013, 3200, 983, 6198, 3602, 2044, 2915, 805, 5153, 5230, 5525, 4670, 1837, 2777, 4933, 3806, 4965, 12999, 5959, 4092, 4584, 5364, 3577, 2744, 5122, 2816, 2118, 1246, 4204, 2005, 32376, 1520, 1847, 3397, 4572, 3477, 5795, 5732, 2759, 3521, 1209, 4585, 656, 3960, 4166, 4407, 2356, 18509, 25940 
スカーレット, 28961, 3428, 5745, 1837, 7828, 13364, 6177, 3274, 2589, 8597, 3316, 4383, 10742, 6619, 4371, 1885, 11925, 3063, 8189, 7869, 10769, 9047, 6146, 4153, 6148, 2642, 3560, 34747, 1401, 5988, 2389, 29567, 24609, 5151, 0, 1328, 4062, 761, 6665, 21741, 2246, 9220, 12870, 5852, 4304, 8098, 2694, 11144, 4443, 7407, 10809, 13285, 18224, 3731, 3689, 4298, 5229, 14680, 6217, 8706, 2822, 11229, 3223, 3139, 6612, 4928, 10275, 8457, 2707, 6032, 11715, 3561, 9158, 2122, 3206, 607, 3086, 3944, 13181, 8609, 10523, 3078, 3949, 7148, 1736, 2678, 4703, 6103, 1892, 5462, 4585, 13078, 1802, 2339, 4594, 6455, 21190, 5671, 1437, 12169, 4324, 2328, 4929, 3254, 15467, 4080, 7925, 4612, 5388, 2041, 3353, 8050, 16838, 8981, 3425, 9058, 1618, 2949, 10863, 21208, 1878, 6161, 3203, 1999, 7840, 1343, 2081, 2351, 7893, 459, 10759, 14623, 29262, 2703, 2469, 2980, 3803, 767, 5558, 7817, 2569, 1249, 833, 2893, 3085, 5730, 3487, 3081, 2813, 4079, 13157, 13889, 3489, 9496, 5901, 9119, 1852, 10359, 5393, 8158, 8609, 7796, 11278, 3397, 6533, 7997, 6221, 10578, 9887, 1917, 9368, 12486, 11313, 10646, 12170, 2916, 6676, 13157, 9612, 13397, 10589, 11393, 6057, 2475, 13461, 2976, 1881, 7049, 6615, 2369, 1216, 9969, 13118, 38335, 8707, 8597, 10634, 7509, 9493, 953, 2010, 11740, 7323, 11381, 6844, 10760, 10977, 11856, 12089, 13157, 6898, 4706, 12539, 5357, 8964, 4505, 3212, 6101, 10296, 13397, 5673, 7148, 1234, 5910, 11170, 4719, 3962, 40070, 1693, 3080, 12889, 7793, 4425, 7364, 3850, 11794, 10997, 2448, 10163, 5378, 5446, 11166, 9821, 10304, 5854, 12762, 9029, 9357, 11357, 6812, 5357, 11123, 5359, 4113, 1835, 10859, 5364, 17641, 3531, 2906, 2196, 9849, 7252, 12562, 12273, 5222, 6424, 4500, 10012, 4009, 8853, 10629, 10404, 4309, 8062, 15077 
スターゲイザー, 26519, 3436, 5593, 1089, 7360, 12818, 5611, 2890, 1631, 8437, 3564, 4261, 9750, 5997, 3319, 1375, 9507, 2887, 8071, 6345, 10417, 8601, 5548, 3163, 7636, 2220, 2230, 35169, 935, 5296, 1889, 30515, 25537, 4041, 1328, 0, 3416, 687, 5855, 19893, 966, 10004, 13818, 7142, 4192, 7540, 2632, 10578, 3893, 6557, 10159, 12183, 17666, 2793, 4231, 2500, 3951, 16996, 8219, 6954, 2768, 10719, 2505, 2439, 5438, 4338, 9695, 8311, 2003, 5594, 11191, 3441, 8432, 1752, 3902, 1039, 4152, 3494, 12721, 7785, 9475, 2866, 4221, 6992, 550, 3804, 4095, 4643, 1942, 6126, 3995, 10406, 1696, 3441, 3880, 8001, 21662, 4881, 973, 11177, 3608, 3082, 5403, 4476, 15827, 3218, 7265, 4024, 4864, 2727, 5091, 8718, 16634, 9551, 2609, 8484, 1150, 3729, 9565, 23976, 854, 8381, 2269, 3101, 7510, 1857, 1819, 2835, 7363, 1585, 10221, 14399, 31640, 2717, 2983, 2714, 3465, 1911, 4874, 7741, 3897, 1295, 923, 2207, 2551, 4416, 2803, 2591, 3269, 3589, 12661, 13053, 3327, 8918, 4301, 8787, 1058, 9999, 5351, 7700, 8185, 7684, 10826, 2121, 5931, 7427, 6439, 10108, 9685, 777, 8998, 11996, 10829, 10140, 11656, 2640, 6234, 12661, 9120, 12887, 10261, 10881, 6311, 1719, 12927, 2720, 2053, 8147, 6735, 1293, 928, 9753, 11546, 37927, 8477, 7909, 10130, 7279, 9123, 1317, 1068, 11204, 6677, 10997, 6404, 10210, 10621, 11312, 11461, 12661, 6412, 4456, 12013, 4745, 8512, 4321, 2068, 6389, 9800, 12887, 5311, 7006, 956, 5008, 10812, 4627, 3924, 40524, 2363, 2258, 12387, 7569, 4175, 7026, 2986, 11228, 10599, 1440, 9769, 4988, 5510, 10692, 9293, 9912, 5740, 12224, 8651, 9127, 11021, 6728, 5215, 10671, 5467, 3321, 1787, 10225, 4858, 18699, 2929, 2750, 2284, 9311, 7056, 12024, 11751, 4980, 6116, 3796, 9266, 3271, 8521, 10033, 9906, 2673, 7742, 15419 
スパイダー, 13865, 10164, 2321, 4447, 16594, 24670, 12813, 5982, 7541, 18447, 394, 1045, 5080, 13691, 3505, 4627, 7099, 8061, 17853, 3735, 6475, 2363, 14300, 7213, 2082, 2654, 5826, 20963, 5029, 952, 3957, 17229, 14169, 8161, 4062, 3416, 0, 2435, 13141, 10533, 4344, 2768, 6442, 2570, 1782, 3876, 7932, 21450, 9739, 1813, 21423, 8085, 10828, 1305, 10893, 702, 12673, 9312, 3749, 4540, 7354, 21605, 8181, 1289, 14814, 12474, 19815, 18245, 8679, 13582, 22307, 9279, 18816, 4144, 1282, 2755, 2796, 8608, 24459, 2723, 20891, 1346, 10393, 15370, 2752, 7554, 10081, 2397, 5144, 894, 10353, 8580, 5314, 9353, 9310, 3523, 10136, 2947, 4179, 6491, 6094, 2220, 1723, 3546, 7055, 8266, 16565, 9928, 11812, 2477, 2773, 4656, 6444, 5371, 3185, 17902, 2380, 3147, 3777, 14352, 5706, 3615, 5513, 2191, 1704, 2127, 6253, 3547, 16513, 3527, 20833, 5645, 19638, 5259, 4513, 7330, 9661, 3617, 13148, 17295, 2959, 3309, 5503, 5743, 9973, 2262, 2133, 6799, 7027, 10197, 24495, 9169, 10487, 18860, 4007, 18967, 3418, 20613, 12613, 17256, 18083, 16952, 21838, 8919, 14731, 16389, 14397, 20784, 20391, 3889, 19464, 23514, 21735, 20830, 23040, 7162, 14502, 24495, 19312, 24797, 21183, 21851, 14061, 4405, 24821, 8438, 6641, 3101, 15649, 6495, 2240, 20079, 7954, 20787, 18339, 18013, 20764, 17059, 19511, 4297, 6316, 22252, 14879, 22223, 15026, 20726, 21695, 22534, 22407, 24495, 14602, 1610, 23475, 12265, 18670, 11727, 8044, 13967, 20204, 24797, 12851, 15990, 3828, 11478, 21970, 11927, 3934, 23414, 7225, 4062, 24083, 17013, 10669, 16140, 8774, 22286, 21573, 2956, 20391, 12212, 13706, 21542, 19369, 20490, 1422, 23814, 18749, 19517, 22119, 14960, 12621, 21681, 12809, 4371, 5799, 20613, 12782, 10997, 5571, 8134, 4976, 19913, 16470, 23498, 23141, 13364, 14566, 10364, 19994, 6909, 18395, 20425, 20442, 7385, 4240, 5989 
スピカ, 24530, 3833, 3618, 1166, 8387, 14579, 6494, 2879, 2274, 9306, 2041, 2604, 8267, 6852, 2850, 1558, 9590, 3172, 8838, 5726, 8052, 6438, 6583, 3584, 5459, 1615, 2349, 32000, 882, 3771, 1702, 26916, 22274, 4582, 761, 687, 2435, 0, 6818, 18050, 1401, 7513, 11109, 4885, 2801, 5755, 2903, 12199, 4304, 5460, 11764, 11494, 14771, 2208, 4668, 2285, 5562, 14021, 6238, 6753, 2465, 12058, 3166, 1654, 7109, 5529, 11038, 9146, 2854, 6335, 12734, 3866, 9991, 1311, 2449, 574, 2971, 3677, 14412, 6660, 11398, 1821, 4498, 8051, 819, 2853, 4520, 3812, 1823, 4091, 4500, 10819, 1355, 3898, 4521, 6106, 18313, 3616, 1114, 10104, 3359, 2089, 3782, 2473, 13240, 3723, 8424, 4393, 5409, 1562, 3114, 7029, 14171, 7594, 2230, 9771, 489, 2036, 7806, 20667, 1381, 6058, 2358, 2182, 5455, 1242, 2116, 2002, 8640, 826, 11658, 12082, 27637, 2024, 1872, 2523, 4076, 1238, 5983, 8406, 2522, 952, 1222, 1836, 3442, 3565, 1794, 2862, 2858, 4154, 14346, 12286, 4120, 10281, 4564, 10012, 875, 11434, 5362, 8831, 9322, 8657, 12365, 3308, 6944, 8562, 6390, 11611, 10920, 982, 10367, 13593, 12360, 11677, 13219, 2629, 7131, 14346, 10505, 14606, 11538, 12252, 6690, 1518, 14650, 3143, 2236, 5762, 7738, 1842, 241, 11032, 11153, 34532, 9678, 9388, 11501, 8522, 10370, 896, 1819, 12741, 7650, 12410, 7327, 11649, 11966, 12903, 13086, 14346, 7379, 3419, 13644, 5596, 9919, 4972, 3223, 6170, 11159, 14606, 6238, 7759, 1165, 5949, 12173, 5316, 2593, 36159, 2430, 2051, 14118, 8840, 4482, 8107, 3639, 12793, 12048, 1067, 10962, 5691, 6333, 12157, 10576, 11329, 4241, 13911, 9750, 10166, 12442, 7657, 5454, 12080, 6012, 2746, 1936, 11706, 5683, 15890, 2528, 2941, 1759, 10794, 8213, 13681, 13410, 5993, 7113, 4457, 10871, 3202, 9554, 11484, 11319, 3882, 6799, 12616 
センチメンタル, 49600, 2079, 17864, 3416, 537, 2333, 248, 1905, 2392, 1362, 12581, 15288, 28479, 238, 5456, 2610, 29536, 826, 1416, 10170, 22158, 22018, 709, 1092, 21121, 12789, 8553, 65930, 4352, 15517, 4126, 58398, 50336, 1068, 6665, 5855, 13141, 6818, 0, 42724, 3157, 25923, 33683, 21105, 16283, 18259, 2887, 1753, 1594, 22158, 1502, 33784, 33375, 7774, 1116, 12169, 1392, 37607, 21600, 24977, 4043, 1656, 1326, 7562, 853, 1161, 982, 1376, 1678, 1361, 1550, 1280, 1237, 6403, 14777, 6116, 16751, 1247, 2250, 24320, 1578, 12843, 1736, 1073, 7371, 6073, 536, 13384, 5105, 17993, 632, 30581, 2733, 2436, 517, 22762, 44259, 11370, 3862, 31006, 4197, 12281, 17730, 15845, 37352, 1101, 464, 591, 339, 11648, 17104, 26579, 37119, 24252, 4696, 631, 6485, 12800, 24404, 48395, 3489, 23346, 2284, 11752, 21837, 7516, 3494, 6670, 1394, 7436, 1156, 31730, 58053, 9736, 7568, 4119, 1230, 7374, 485, 1506, 13528, 4530, 3728, 5910, 1520, 9897, 13552, 3290, 6162, 854, 2226, 35788, 1766, 871, 19668, 1174, 7803, 1418, 1856, 1083, 918, 903, 1691, 1588, 574, 632, 3144, 1585, 1350, 5588, 1173, 1945, 1620, 1591, 1875, 1905, 317, 2226, 1191, 2312, 1506, 1690, 2496, 3404, 2328, 985, 2566, 23848, 772, 2444, 7299, 1406, 32377, 66298, 1018, 1162, 1451, 894, 1250, 3734, 2795, 1575, 358, 1682, 409, 1213, 1586, 1837, 1650, 2226, 543, 17565, 1926, 278, 1069, 1022, 2235, 3794, 1171, 2312, 254, 829, 5365, 249, 1649, 486, 9017, 69571, 3060, 3199, 2170, 1032, 1024, 527, 703, 1565, 1602, 8475, 1326, 461, 873, 1437, 860, 1531, 18065, 2021, 1064, 1352, 1658, 1331, 1448, 1540, 1168, 5118, 1960, 1064, 433, 39238, 3414, 1501, 4725, 1268, 891, 1917, 1920, 867, 1275, 445, 1281, 1864, 1022, 1036, 1173, 2540, 23995, 34096 
チェリー, 2160, 37269, 7354, 24130, 48747, 62787, 43048, 28671, 30258, 50830, 11319, 9380, 4423, 43546, 19808, 27234, 7180, 32852, 49564, 15994, 8396, 5424, 44317, 31240, 9523, 15041, 18409, 8206, 23800, 8019, 25212, 9134, 10788, 32446, 21741, 19893, 10533, 18050, 42724, 0, 23475, 6619, 4137, 10051, 7609, 7757, 33749, 57927, 36706, 7280, 56550, 4852, 5543, 15798, 37804, 9939, 40308, 11099, 13032, 6641, 31545, 57544, 33932, 15546, 44561, 41307, 54522, 50404, 33616, 44391, 58624, 36882, 52637, 23919, 9387, 20558, 12993, 32541, 62404, 5400, 55106, 13913, 38414, 48219, 18519, 26849, 35874, 9428, 26831, 8755, 37480, 7873, 27049, 35164, 36159, 11356, 6023, 12748, 24670, 7358, 24467, 17461, 11830, 12659, 2698, 34291, 48278, 35487, 39359, 17480, 13476, 8361, 1985, 12616, 20748, 51725, 17831, 16654, 3022, 11679, 26543, 10698, 26286, 17002, 4975, 19626, 30352, 22776, 49912, 20798, 56114, 2394, 13377, 20912, 19566, 31129, 37734, 22398, 42559, 48334, 17110, 24006, 27008, 23086, 35476, 13909, 9762, 29126, 29926, 37882, 62254, 5108, 37604, 53205, 9730, 53306, 20297, 56334, 38692, 50591, 51110, 49857, 58297, 34036, 45054, 48988, 40732, 56793, 54898, 19832, 53941, 60619, 58138, 56881, 60015, 31109, 45447, 62254, 54177, 62780, 56254, 57968, 44044, 23468, 62896, 32985, 30488, 7404, 47030, 27582, 17431, 55512, 7223, 6082, 52334, 51272, 56169, 49566, 53882, 25342, 28599, 58621, 46180, 58190, 45867, 56109, 57214, 59447, 59110, 62254, 46211, 10597, 60658, 41292, 52787, 40912, 33611, 39182, 55157, 62780, 42854, 47223, 24071, 40309, 57667, 41294, 16563, 10399, 32200, 23709, 61834, 49954, 37820, 48157, 34405, 58763, 57656, 15045, 55204, 41881, 44461, 57515, 53590, 56223, 11099, 61273, 52476, 53020, 58334, 47375, 39372, 57568, 42262, 20714, 28816, 55962, 42039, 12852, 24478, 34003, 25755, 54688, 48939, 60725, 60148, 43401, 46495, 37467, 54747, 28820, 51418, 55578, 55467, 32306, 9479, 6398 
